id_region, nom, createdAt, updatedAt
1, Adamaoua, 2025-03-01 00:00:00, 2025-03-01 00:00:00
2, Centre, 2025-03-01 00:00:00, 2025-03-01 00:00:00
3, Est, 2025-03-01 00:00:00, 2025-03-01 00:00:00
4, Extreme-Nord, 2025-03-01 00:00:00, 2025-03-01 00:00:00
5, Littoral, 2025-03-01 00:00:00, 2025-03-01 00:00:00
6, Nord, 2025-03-01 00:00:00, 2025-03-01 00:00:00
7, Nord-Ouest, 2025-03-01 00:00:00, 2025-03-01 00:00:00
8, Ouest, 2025-03-01 00:00:00, 2025-03-01 00:00:00
9, Sud, 2025-03-01 00:00:00, 2025-03-01 00:00:00
10, Sud-Ouest, 2025-03-01 00:00:00, 2025-03-01 00:00:00

id_region ,nom, createdAt, updatedAt
1, Djerem, 2025-03-01 00:00:00, 2025-03-01 00:00:00
1, Faro-et-Déo, 2025-03-01 00:00:00,2025-03-01 00:00:00
1, Maro-Bayo, 2025-03-01 00:00:00,2025-03-01 00:00:00
1, Mbéré,2025-03-01 00:00:00,2025-03-01 00:00:00
1, Vina,2025-03-01 00:00:00,2025-03-01 00:00:00
2,Haute-Sanaga,2025-03-01 00:00:00, 2025-03-01 00:00:00
2,Lekié,2025-03-01 00:00:00, 2025-03-01 00:00:00 		
2,Mbam-et-Inoubou,2025-03-01 00:00:00, 2025-03-01 00:00:00	
2,Mbam-et-Kim,2025-03-01 00:00:00, 2025-03-01 00:00:00
2,Méfou-et-Afamba,2025-03-01 00:00:00, 2025-03-01 00:00:00	
2,Méfou-et-Akono,2025-03-01 00:00:00, 2025-03-01 00:00:00		
2,Mfoundi,2025-03-01 00:00:00, 2025-03-01 00:00:00		
2,Nyong-et-Kéllé,2025-03-01 00:00:00, 2025-03-01 00:00:00	
2,Nyong-et-Mfoumou,2025-03-01 00:00:00, 2025-03-01 00:00:00
2,Nyong-et-So'o,2025-03-01 00:00:00, 2025-03-01 00:00:00
3,Boumba-et-Ngoko, 2025-03-01 00:00:00, 2025-03-01 00:00:00
3,Haut-Nyong, 2025-03-01 00:00:00, 2025-03-01 00:00:00
3,Kadey , 2025-03-01 00:00:00, 2025-03-01 00:00:00
3,Lom-et-Djérem,2025-03-01 00:00:00, 2025-03-01 00:00:00
4,Diamaré,2025-03-01 00:00:00, 2025-03-01 00:00:00
4,Logone-et-Chari,2025-03-01 00:00:00, 2025-03-01 00:00:00
4,Mayo-Danay,2025-03-01 00:00:00, 2025-03-01 00:00:00
4,Mayo-Kani,2025-03-01 00:00:00, 2025-03-01 00:00:00
4,Mayo-Sava,2025-03-01 00:00:00, 2025-03-01 00:00:00
4,Mayo-Tsanaga,2025-03-01 00:00:00, 2025-03-01 00:00:00